"CGrade","LoanTerm","LoanStatus","BorrowerAPR","InterestRate","LenderYield","EmpStatus","EmpStatusDuration","HomeOwner","AvailablecardCredit","IncomeRange","DeclaredMonthlyIncome","MonthlyLoanPayment"
"A",36,"Defaulted",0.14106,0.134,0.129,"Full-time",93,FALSE,289168,"$100,000+",10000,677.74
"A",36,"Completed",0.15408,0.1398,0.1298,"Self-employed",26,FALSE,253061,"$50,000-74,999",5833.333333,170.84
"A",36,"Completed",0.18454,0.17,0.16,"Full-time",15,TRUE,239951,"$50,000-74,999",5016.666667,237.21
"A",36,"Completed",0.28771,0.28,0.265,"Full-time",0,FALSE,232500,"$25,000-49,999",2400,221.49
"A",36,"Chargedoff",0.17687,0.1624,0.1524,"Full-time",77,FALSE,221237,"$50,000-74,999",6000,289.26
"A",36,"Completed",0.11596,0.109,0.104,"Full-time",45,TRUE,207486,"$100,000+",8333.333333,196.18
"A",36,"Completed",0.09688,0.09,0.085,"Full-time",75,TRUE,183118,"$100,000+",16666.66667,159
"A",36,"Completed",0.12349,0.1165,0.109,"Full-time",14,TRUE,169049,"$100,000+",15405.25,396.57
"A",36,"Completed",0.10386,0.09,0.08,"Self-employed",41,TRUE,161944,"$100,000+",18541.66667,79.5
"A",36,"Completed",0.13915,0.125,0.115,"Full-time",122,TRUE,161847,"$100,000+",9416.666667,287.7
"A",36,"Completed",0.09389,0.0853,0.0803,"Full-time",13,TRUE,160271,"$100,000+",10000,63.16
"A",36,"Completed",0.0837,0.07,0.06,"Full-time",266,FALSE,157747,"$50,000-74,999",4166.666667,123.51
"A",36,"Completed",0.09375,0.0765,0.0665,"Full-time",44,TRUE,148714,"$100,000+",8833.333333,31.18
"A",36,"Chargedoff",0.12201,0.108,0.098,"Full-time",81,FALSE,139741,"$100,000+",10000,97.93
"A",36,"Completed",0.11636,0.1094,0.1044,"Full-time",269,TRUE,127433,"$75,000-99,999",7500,157.01
"A",36,"Completed",0.09939,0.0925,0.085,"Full-time",6,TRUE,125149,"$75,000-99,999",7083.333333,159.58
"A",36,"Completed",0.08567,0.0685,0.0585,"Full-time",43,FALSE,122675,"$50,000-74,999",5416.666667,30.81
"A",36,"Completed",0.14671,0.1325,0.1225,"Full-time",23,TRUE,122430,"$75,000-99,999",7075,845.36
"A",36,"Completed",0.15629,0.142,0.132,"Self-employed",78,TRUE,121561,"$100,000+",10833.33333,342.75
"A",36,"Completed",0.09588,0.089,0.084,"Full-time",184,FALSE,120176,"$75,000-99,999",6533.333333,158.77
"A",36,"Completed",0.09935,0.089,0.079,"Full-time",176,TRUE,118719,"$100,000+",22916.66667,158.77
"A",36,"Completed",0.12201,0.108,0.098,"Self-employed",21,TRUE,118072,"$100,000+",9946,163.22
"A",36,"Completed",0.11489,0.1091,0.0991,"Full-time",267,FALSE,116915,"$25,000-49,999",2773,98.09
"A",36,"Completed",0.09951,0.088,0.083,"Full-time",28,TRUE,115444,"$100,000+",10000,47.56
"A",36,"Chargedoff",0.36623,0.35,0.34,"Self-employed",373,TRUE,115357,"$75,000-99,999",6250,655.92
