"Exporter","Importer","Year","App.","Taxon","Class","Order","Family","Genus","Origin","Importer.reported.quantity","Exporter.reported.quantity","Term","Unit","Purpose","Source","id","importer_country","importer_iso3","importer_code","importer_lat","importer_long","exporter_country","exporter_iso3","exporter_code","exporter_lat","exporter_long"
"AD","FR",2010,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"",15,NA,"carvings","","T","O",6035,"France","FRA",250,46,2,"Andorra","AND",20,42.5,1.6
"AE","US",2003,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",3,NA,"ivory carvings","","Q","O",4203,"United States","USA",840,38,-97,"United Arab Emirates","ARE",784,24,54
"AE","NL",1997,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"",1,NA,"leather products (small)","","","I",2339,"Netherlands","NLD",528,52.5,5.75,"United Arab Emirates","ARE",784,24,54
"AE","AU",2009,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",1,NA,"ivory carvings","","","I",5613,"Australia","AUS",36,-27,133,"United Arab Emirates","ARE",784,24,54
"AE","FR",2013,"II","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"",NA,1,"carvings","","Q","W",7477,"France","FRA",250,46,2,"United Arab Emirates","ARE",784,24,54
"AE","GB",1986,"II","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",2,NA,"ivory carvings","kg","T","",505,"United Kingdom","GBR",826,54,-2,"United Arab Emirates","ARE",784,24,54
"AE","GB",2013,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",3.2,NA,"tusks","kg","E","I",7198,"United Kingdom","GBR",826,54,-2,"United Arab Emirates","ARE",784,24,54
"AE","FR",2013,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"MO",1,NA,"carvings","","T","O",7170,"France","FRA",250,46,2,"United Arab Emirates","ARE",784,24,54
"AE","FR",2014,"II","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"",NA,1,"ivory carvings","","Q","O",7858,"France","FRA",250,46,2,"United Arab Emirates","ARE",784,24,54
"AE","GB",2009,"II","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"",NA,10,"trophies","","Q","O",5932,"United Kingdom","GBR",826,54,-2,"United Arab Emirates","ARE",784,24,54
"AE","US",1992,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",12,NA,"leather items","","T","I",1297,"United States","USA",840,38,-97,"United Arab Emirates","ARE",784,24,54
"AE","GB",2003,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"",1,NA,"ivory carvings","","","I",4117,"United Kingdom","GBR",826,54,-2,"United Arab Emirates","ARE",784,24,54
"AE","AU",2009,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",1,NA,"tusks","","","I",5614,"Australia","AUS",36,-27,133,"United Arab Emirates","ARE",784,24,54
"AE","GB",2014,"II","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"",NA,1,"ivory pieces","","Q","O",7859,"United Kingdom","GBR",826,54,-2,"United Arab Emirates","ARE",784,24,54
"AE","FR",2009,"II","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"FR",NA,1,"tusks","","Q","O",5931,"France","FRA",250,46,2,"United Arab Emirates","ARE",784,24,54
"AE","GB",2014,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",1,NA,"ivory carvings","","Q","O",7618,"United Kingdom","GBR",826,54,-2,"United Arab Emirates","ARE",784,24,54
"AE","GB",1986,"II","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",1,NA,"ivory carvings","","","",506,"United Kingdom","GBR",826,54,-2,"United Arab Emirates","ARE",784,24,54
"AE","US",2011,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",1,NA,"ivory carvings","","P","I",6507,"United States","USA",840,38,-97,"United Arab Emirates","ARE",784,24,54
"AE","AU",2009,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"FR",22,NA,"ivory carvings","","","I",5612,"Australia","AUS",36,-27,133,"United Arab Emirates","ARE",784,24,54
"AE","GB",1990,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",1,NA,"ivory carvings","g","P","",921,"United Kingdom","GBR",826,54,-2,"United Arab Emirates","ARE",784,24,54
"AE","CA",1986,"II","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"",1,NA,"ivory carvings","","","",469,"Canada","CAN",124,60,-95,"United Arab Emirates","ARE",784,24,54
"AE","GB",2012,"II","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"",NA,1,"tusks","","E","I",7040,"United Kingdom","GBR",826,54,-2,"United Arab Emirates","ARE",784,24,54
"AE","FR",2014,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"MO",1,NA,"ivory carvings","","Q","O",7600,"France","FRA",250,46,2,"United Arab Emirates","ARE",784,24,54
"AE","US",2003,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,3,"tusks","","Q","W",4204,"United States","USA",840,38,-97,"United Arab Emirates","ARE",784,24,54
