Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
1977,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,GB,XX,60,,ivory carvings,sets,,
1977,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,HK,XX,22,,ivory carvings,kg,,
1977,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,IN,XX,144,,ivory carvings,kg,,
1977,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,NG,,2,,tusks,,,
1977,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,TH,XX,100,,ivory carvings,g,,
1977,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,ZM,,8,,ivory carvings,kg,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,BW,,2,,skins,cases,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,DE,XX,2,,ivory carvings,kg,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,DE,XX,3,,ivory carvings,,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,GB,XX,240,,ivory carvings,sets,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,HK,XX,842,,ivory carvings,kg,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,IN,XX,73,,ivory carvings,kg,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,IN,XX,67,,ivory carvings,,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,KE,,1,,feet,,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,KE,,545,,hair products,,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,KE,,110,,ivory carvings,,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,KE,,8,,tusks,kg,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,LK,,4,,hair products,,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,LR,,8,,tusks,kg,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,SE,XX,1,,ivory carvings,,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,TH,XX,78,,ivory carvings,kg,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,TZ,,7,,ivory carvings,kg,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,XX,,24,,tusks,kg,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,ZA,,1,,feet,,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,ZM,,11,,ivory carvings,kg,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,ZM,,1,,ivory carvings,,,
1979,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,XX,,107,,carvings,,,
1979,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,XX,,114,,ivory carvings,,,
1979,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,XX,,14,,tusks,,,
1979,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,DE,XX,10,,ivory carvings,g,T,
1979,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,FR,XX,400,,ivory carvings,g,T,
1979,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,GB,XX,240,,ivory carvings,sets,T,
1979,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,GB,XX,33,,ivory pieces,kg,T,
1979,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,GB,XX,1,,skins,,T,
1979,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,HK,XX,128,,ivory carvings,kg,T,
1979,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,HK,XX,23,,ivory carvings,,T,
1979,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,IN,XX,229,,ivory carvings,kg,T,
1979,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,SG,XX,7,,ivory carvings,,T,
1979,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,TH,XX,147,,ivory carvings,kg,T,
1979,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,US,XX,100,,ivory carvings,g,P,
1979,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,US,XX,50,,ivory carvings,g,T,
1979,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,CH,XX,,211,ivory carvings,,,
1979,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,MC,CH,XX,,1,ivory carvings,,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,FR,,4,,tusks,,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,NP,,3,,ivory carvings,,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,US,,78,,live,,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,XX,,54,,ivory carvings,,,I
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,XX,,15,,ivory pieces,,,I
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,XX,,12,,trophies,,,I
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,XX,,2,,tusks,,,I
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,AT,,1,,ivory carvings,,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,DE,,1,,ivory carvings,,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,,2,,ivory carvings,,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,GB,,122,,ivory carvings,,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,SE,,1,,ivory carvings,,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,XX,,10,,ivory carvings,,,I
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,XX,,4,,tusks,,,I
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,BW,,3,,feet,,H,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,BW,,2,,tusks,,H,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,BW,,2,,tusks,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,DE,XX,6,,ivory carvings,kg,T,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,DE,XX,2,,ivory carvings,kg,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,DE,XX,3,,ivory carvings,,E,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,GQ,,1,,feet,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,GQ,,2,,tusks,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,LR,,3,,ivory carvings,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,MW,,22,,ivory carvings,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,NG,,16,,ivory carvings,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,NL,XX,1,,tusks,kg,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,TH,XX,350,,ivory carvings,g,T,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,TH,XX,25,,ivory carvings,kg,T,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,TH,XX,51,,ivory carvings,kg,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,TH,XX,703,,ivory carvings,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,TH,XX,13974,,ivory carvings,,T,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,TH,XX,15164,,ivory carvings,,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,US,XX,1,,ivory carvings,kg,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,VN,,10,,ivory carvings,,T,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,ZA,,1,,ears,,H,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,ZA,,4,,feet,,H,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,ZA,,2,,tusks,,H,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,ZM,,4,,tusks,,H,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,ZW,,11,,feet,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,CH,GB,,114,ivory carvings,,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,CH,XX,,35,ivory carvings,,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,HK,,1,,ivory carvings,sets,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,SE,,,10,ivory carvings,,E,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,XX,,8,,leather items,,,I
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,IT,IN,,605,,ivory carvings,,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,IT,US,IT,,8,ivory carvings,,T,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,MX,US,HK,,700,ivory carvings,,T,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,AF,,59,,ivory carvings,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,CH,DE,,1,ivory carvings,,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,CH,GB,,7,ivory carvings,,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,CH,XX,,1,ivory carvings,pairs,,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,CH,XX,2,,ivory carvings,,T,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,CM,,6,,ivory carvings,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,CN,,8,,ivory carvings,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,CN,,1,,ivory carvings,,T,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,CN,,1,,tusks,,T,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,DE,XX,2,,ivory carvings,,T,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,DE,,1,,ivory carvings,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,GB,FR,43,,ivory carvings,,T,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,GB,IN,3,,ivory carvings,,T,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,GB,XX,3,,ivory carvings,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,GB,XX,5,,ivory carvings,,T,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,HK,XX,70,,ivory carvings,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,HK,XX,1,,ivory carvings,,T,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,IN,,56,,ivory carvings,,P,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,IN,,12,,ivory carvings,,T,
1980,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,KY,XX,5,,ivory carvings,,P,
