Product code,Bureau of Meteorology station number,Year,Month,Day,Date,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,4032,1948,1,1,1/01/1948,,,
IDCJAC0010,4032,1948,1,2,2/01/1948,,,
IDCJAC0010,4032,1948,1,3,3/01/1948,,,
IDCJAC0010,4032,1948,1,4,4/01/1948,,,
IDCJAC0010,4032,1948,1,5,5/01/1948,,,
IDCJAC0010,4032,1948,1,6,6/01/1948,,,
IDCJAC0010,4032,1948,1,7,7/01/1948,,,
IDCJAC0010,4032,1948,1,8,8/01/1948,,,
IDCJAC0010,4032,1948,1,9,9/01/1948,,,
IDCJAC0010,4032,1948,1,10,10/01/1948,,,
IDCJAC0010,4032,1948,1,11,11/01/1948,,,
IDCJAC0010,4032,1948,1,12,12/01/1948,,,
IDCJAC0010,4032,1948,1,13,13/01/1948,,,
IDCJAC0010,4032,1948,1,14,14/01/1948,,,
IDCJAC0010,4032,1948,1,15,15/01/1948,,,
IDCJAC0010,4032,1948,1,16,16/01/1948,,,
IDCJAC0010,4032,1948,1,17,17/01/1948,,,
IDCJAC0010,4032,1948,1,18,18/01/1948,,,
IDCJAC0010,4032,1948,1,19,19/01/1948,,,
IDCJAC0010,4032,1948,1,20,20/01/1948,,,
IDCJAC0010,4032,1948,1,21,21/01/1948,,,
IDCJAC0010,4032,1948,1,22,22/01/1948,,,
IDCJAC0010,4032,1948,1,23,23/01/1948,,,
IDCJAC0010,4032,1948,1,24,24/01/1948,,,
IDCJAC0010,4032,1948,1,25,25/01/1948,,,
IDCJAC0010,4032,1948,1,26,26/01/1948,,,
IDCJAC0010,4032,1948,1,27,27/01/1948,,,
IDCJAC0010,4032,1948,1,28,28/01/1948,,,
IDCJAC0010,4032,1948,1,29,29/01/1948,,,
IDCJAC0010,4032,1948,1,30,30/01/1948,,,
IDCJAC0010,4032,1948,1,31,31/01/1948,,,
IDCJAC0010,4032,1948,2,1,1/02/1948,,,
IDCJAC0010,4032,1948,2,2,2/02/1948,,,
IDCJAC0010,4032,1948,2,3,3/02/1948,,,
IDCJAC0010,4032,1948,2,4,4/02/1948,,,
