state,abb,year,pop
Alabama,AL,2010,4779736
Alaska,AK,2010,710231
Arizona,AZ,2010,6392017
Arkansas,AR,2010,2915918
California,CA,2010,37253956
Colorado,CO,2010,5029196
Connecticut,CT,2010,3574097
Delaware,DE,2010,897934
District of Columbia,DC,2010,601723
Florida,FL,2010,18801310
Georgia,GA,2010,9687653
Hawaii,HI,2010,1360301
Idaho,ID,2010,1567582
Illinois,IL,2010,12830632
Indiana,IN,2010,6483802
Iowa,IA,2010,3046355
Kansas,KS,2010,2853118
Kentucky,KY,2010,4339367
Louisiana,LA,2010,4533372
Maine,ME,2010,1328361
Maryland,MD,2010,5773552
Massachusetts,MA,2010,6547629
Michigan,MI,2010,9883640
Minnesota,MN,2010,5303925
Mississippi,MS,2010,2967297
Missouri,MO,2010,5988927
Montana,MT,2010,989415
Nebraska,NE,2010,1826341
Nevada,NV,2010,2700551
New Hampshire,NH,2010,1316470
New Jersey,NJ,2010,8791894
New Mexico,NM,2010,2059179
New York,NY,2010,19378102
North Carolina,NC,2010,9535483
North Dakota,ND,2010,672591
Ohio,OH,2010,11536504
Oklahoma,OK,2010,3751351
Oregon,OR,2010,3831074
Pennsylvania,PA,2010,12702379
Rhode Island,RI,2010,1052567
South Carolina,SC,2010,4625364
South Dakota,SD,2010,814180
Tennessee,TN,2010,6346105
Texas,TX,2010,25145561
Utah,UT,2010,2763885
Vermont,VT,2010,625741
Virginia,VA,2010,8001024
Washington,WA,2010,6724540
West Virginia,WV,2010,1852994
Wisconsin,WI,2010,5686986
Wyoming,WY,2010,563626
Alabama,AL,2011,4799918
Alaska,AK,2011,722713
Arizona,AZ,2011,6467163
Arkansas,AR,2011,2939493
California,CA,2011,37676861
Colorado,CO,2011,5118360
Connecticut,CT,2011,3589893
Delaware,DE,2011,907924
District of Columbia,DC,2011,620477
Florida,FL,2011,19096952
Georgia,GA,2011,9811610
Hawaii,HI,2011,1377864
Idaho,ID,2011,1584143
Illinois,IL,2011,12860012
Indiana,IN,2011,6516480
Iowa,IA,2011,3065223
Kansas,KS,2011,2869503
Kentucky,KY,2011,4369354
Louisiana,LA,2011,4575404
Maine,ME,2011,1328231
Maryland,MD,2011,5843603
Massachusetts,MA,2011,6611923
Michigan,MI,2011,9876213
Minnesota,MN,2011,5348562
Mississippi,MS,2011,2978162
Missouri,MO,2011,6010717
Montana,MT,2011,997821
Nebraska,NE,2011,1842283
Nevada,NV,2011,2718379
New Hampshire,NH,2011,1318473
New Jersey,NJ,2011,8841243
New Mexico,NM,2011,2077756
New York,NY,2011,19519529
North Carolina,NC,2011,9650963
North Dakota,ND,2011,685476
Ohio,OH,2011,11544824
Oklahoma,OK,2011,3786274
Oregon,OR,2011,3868031
Pennsylvania,PA,2011,12744293
Rhode Island,RI,2011,1052451
South Carolina,SC,2011,4672637
South Dakota,SD,2011,824398
Tennessee,TN,2011,6397634
Texas,TX,2011,25646389
Utah,UT,2011,2816124
Vermont,VT,2011,626730
Virginia,VA,2011,8110035
Washington,WA,2011,6822520
West Virginia,WV,2011,1854972
Wisconsin,WI,2011,5709640
Wyoming,WY,2011,567725
Alabama,AL,2012,4815960
Alaska,AK,2012,731089
Arizona,AZ,2012,6549634
Arkansas,AR,2012,2950685
California,CA,2012,38011074
Colorado,CO,2012,5189867
Connecticut,CT,2012,3593795
Delaware,DE,2012,916993
District of Columbia,DC,2012,635327
Florida,FL,2012,19344156
Georgia,GA,2012,9914668
Hawaii,HI,2012,1391820
Idaho,ID,2012,1595911
Illinois,IL,2012,12870798
Indiana,IN,2012,6537743
Iowa,IA,2012,3076310
Kansas,KS,2012,2885262
Kentucky,KY,2012,4384799
Louisiana,LA,2012,4603429
Maine,ME,2012,1328895
Maryland,MD,2012,5889651
Massachusetts,MA,2012,6658008
Michigan,MI,2012,9887238
Minnesota,MN,2012,5380285
Mississippi,MS,2012,2984945
Missouri,MO,2012,6025415
Montana,MT,2012,1005196
Nebraska,NE,2012,1855725
Nevada,NV,2012,2752565
New Hampshire,NH,2012,1321182
New Jersey,NJ,2012,8873211
New Mexico,NM,2012,2083784
New York,NY,2012,19602769
North Carolina,NC,2012,9746175
North Dakota,ND,2012,702087
Ohio,OH,2012,11550839
Oklahoma,OK,2012,3817054
Oregon,OR,2012,3899116
Pennsylvania,PA,2012,12771854
Rhode Island,RI,2012,1052901
South Carolina,SC,2012,4720760
South Dakota,SD,2012,834441
Tennessee,TN,2012,6454306
Texas,TX,2012,26071655
Utah,UT,2012,2855782
Vermont,VT,2012,626444
Virginia,VA,2012,8192048
Washington,WA,2012,6895226
West Virginia,WV,2012,1856560
Wisconsin,WI,2012,5726177
Wyoming,WY,2012,576765
Alabama,AL,2013,4829479
Alaska,AK,2013,736879
Arizona,AZ,2013,6624617
Arkansas,AR,2013,2958663
California,CA,2013,38335203
Colorado,CO,2013,5267603
Connecticut,CT,2013,3596003
Delaware,DE,2013,925395
District of Columbia,DC,2013,649165
Florida,FL,2013,19582022
Georgia,GA,2013,9984938
Hawaii,HI,2013,1406481
Idaho,ID,2013,1612011
Illinois,IL,2013,12879505
Indiana,IN,2013,6569102
Iowa,IA,2013,3091930
Kansas,KS,2013,2892821
